Year	Argentina	Bolivia	Brazil	Chile	Colombia	Costa Rica	Cuba	Dominican Republic	Ecuador	El Salvador	Guatemala	Haiti	Honduras	Mexico	Nicaragua	Panama	Paraguay	Peru	Uruguay	Venezuela
1979	M	O	M	M	DL															
1980	M	M	M	M	DL															
1981	M	M	M	M	DL															
1982	M	DL	M	M	DR															
1983	DR	DL	M	M	DR															
1984	DR	DL	M	M	DR															
1985	DR	DR	DO	M	DR															
1986	DR	DR	DO	M	DL															
1987	DR	DR	DO	M	DL															
1988	DR	DR	DO	M	DL															
1989	DL	DL	DO	M	DL															
1990	DL	DL	DR	DO	DL															
1991	DL	DL	DR	DO	DL															
1992	DL	DL	DO	DO	DL															
1993	DL	DR	DO	DO	DL															
1994	DL	DR	DO	DO	DL															
1995	DL	DR	DO	DO	DL															
1996	DL	DR	DO	DO	DL															
1997	DL	DR	DO	DO	DL															
1998	DL	DR	DO	DO	DR															
1999	DR	DR	DO	DO	DR															
2000	DR	DR	DO	DO	DR															
2001	O	DR	DO	DO	DR															
2002	DL	DR	DO	DO	DR															
2003	DL	DO	DL	DO	DR															
2004	DL	DO	DL	DO	DR															
2005	DL	DO	DL	DO	DR															
2006	DL	DL	DL	DL	DR															
2007	DL	DL	DL	DL	DR															
2008	DL	DL	DL	DL	DR															
2009	DL	DL	DL	DL	DR															
2010	DL	DL	DL	DR	DO															
2011	DL	DL	DL	DR	DO															
2012	DL	DL	DL	DR	DO															
2013	DL	DL	DL	DR	DO															
2014	DL	DL	DL	DL	DO															
2015	DR	DL	DL	DL	DO															
2016	DR	DL	DO	DL	DO															
2017	DR	DL	DO	DL	DO															
2018	DR	DL	DO	DR	DR															
2019	DL	DR	DR	DR	DR															
